"","CIP_Classificaiton","Year","ID_School","White.Men","Foreign.Men","Foreign.Women","Asian.Islander.Men","Asian.Islander.Women","White.Women","Hispanic.Men","Hispanic.Women","Black.Men","Black.Women","Other.Men","Other.Women"
"5693","Liberal arts and sciences- general studies and humanities.","1990-1991","BAMA",1,0,0,0,0,0,0,0,0,0,0,0
"5694","Biological and Biomedical Sciences","1990-1991","BAMA",31,0,0,1,0,23,0,0,10,3,0,1
"5695","Mathematics and Statistics","1990-1991","BAMA",7,2,0,0,1,14,0,0,0,1,0,0
"5696","Multi/Interdisciplinary Studies","1990-1991","BAMA",50,1,0,0,0,46,1,0,0,1,0,1
"5697","Parks- Recreation- Leisure and Fitness Studies","1990-1991","BAMA",1,0,0,0,0,2,0,0,0,0,0,0
"5698","Philosophy and Religious Studies","1990-1991","BAMA",1,0,0,0,0,2,0,0,0,0,0,0
"5699","Physical Sciences","1990-1991","BAMA",15,4,0,0,0,5,0,0,2,0,0,0
"5700","Psychology","1990-1991","BAMA",20,1,0,0,0,64,0,0,3,11,0,0
"5701","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1990-1991","BAMA",22,0,0,0,1,13,0,0,4,7,0,0
"5702","Public administration and social service professions.","1990-1991","BAMA",2,0,0,0,0,18,0,0,0,5,0,0
"5703","Social Sciences and History","1990-1991","BAMA",107,1,1,0,0,60,0,0,3,4,1,2
"5704","Visual and performing arts.","1990-1991","BAMA",16,0,0,0,0,36,0,0,1,0,0,0
"5705","Health Professions and Related Programs","1990-1991","BAMA",2,0,0,0,0,1,0,0,0,1,0,0
"5706","Business- Management- Marketing- and Related Support Services","1990-1991","BAMA",380,7,7,0,0,255,2,2,21,29,3,0
"5707","Area- Ethnic- Cultural- Gender- and Group Studies","1990-1991","BOS.ST",1,0,0,0,0,0,0,0,0,0,0,0
"5708","Marketing and Distribution","1990-1991","BOS.ST",12,0,0,0,0,0,0,0,0,0,0,0
"5709","Communication- Journalism- and Related Programs","1990-1991","BOS.ST",20,0,0,0,0,37,0,2,0,0,1,0
"5710","Computer and Information Sciences and Support Services","1990-1991","BOS.ST",11,0,0,1,0,6,0,1,0,0,1,0
"5711","Education","1990-1991","BOS.ST",29,0,0,0,1,125,0,7,1,0,0,2
"5712","Engineering","1990-1991","BOS.ST",2,0,0,0,0,3,0,0,0,0,0,0
"5713","Health Sciences","1990-1991","BOS.ST",12,0,0,0,1,38,1,2,0,0,0,1
"5714","English language and literature/letters.","1990-1991","BOS.ST",4,0,0,0,0,14,0,0,0,0,0,0
"5715","Biological and Biomedical Sciences","1990-1991","BOS.ST",8,0,0,0,0,8,0,0,0,0,0,0
"5716","Mathematics and Statistics","1990-1991","BOS.ST",2,0,0,0,0,2,0,0,0,0,0,0
"5717","Multi/Interdisciplinary Studies","1990-1991","BOS.ST",32,1,0,0,0,4,0,0,0,0,0,0
"5718","Philosophy and Religious Studies","1990-1991","BOS.ST",1,0,0,0,0,0,0,0,0,0,0,0
"5719","Physical Sciences","1990-1991","BOS.ST",8,0,0,0,0,6,1,0,0,0,0,0
"5720","Psychology","1990-1991","BOS.ST",8,0,0,0,0,15,0,1,0,0,0,0
"5721","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1990-1991","BOS.ST",18,0,0,0,1,7,1,0,1,0,0,0
"5722","Public administration and social service professions.","1990-1991","BOS.ST",1,0,0,0,0,21,0,0,0,0,0,0
"5723","Social Sciences and History","1990-1991","BOS.ST",51,1,0,1,0,43,7,3,2,0,0,1
"5724","Visual and performing arts.","1990-1991","BOS.ST",20,0,0,0,0,29,1,0,0,0,0,0
"5725","Health Professions and Related Programs","1990-1991","BOS.ST",7,0,0,0,0,6,0,0,0,0,0,0
"5726","Business- Management- Marketing- and Related Support Services","1990-1991","BOS.ST",146,3,0,1,2,106,1,4,0,0,0,0
"5727","Agriculture- Agriculture Operations and Related Sciences","1990-1991","CLEM",0,0,0,0,0,0,0,0,11,1,0,0
"5728","Agricultural Sciences","1990-1991","CLEM",17,1,1,0,0,18,0,0,0,1,1,0
"5729","Natural Resources and Conservation","1990-1991","CLEM",15,0,0,0,0,1,0,0,1,0,0,0
"5730","Architecture and Related Services","1990-1991","CLEM",84,0,0,1,1,33,1,0,1,0,0,0
"5731","Marketing and Distribution","1990-1991","CLEM",61,1,0,0,0,103,0,1,5,1,0,0
"5732","Computer and Information Sciences and Support Services","1990-1991","CLEM",30,0,1,2,1,12,0,0,2,3,0,0
"5733","Education","1990-1991","CLEM",36,0,0,0,1,219,1,0,1,4,0,0
"5734","Engineering","1990-1991","CLEM",360,8,1,3,1,66,4,0,11,9,0,0
"5735","Foreign Languages- Literatures- and Linguistics","1990-1991","CLEM",9,0,0,0,1,38,0,1,0,2,0,0
"5736","Health Sciences","1990-1991","CLEM",3,0,0,0,1,48,0,0,2,1,0,0
"5737","English language and literature/letters.","1990-1991","CLEM",15,0,0,0,0,40,2,0,0,2,0,0
"5738","Biological and Biomedical Sciences","1990-1991","CLEM",49,0,1,0,0,33,2,0,3,3,1,0
"5739","Mathematics and Statistics","1990-1991","CLEM",8,1,0,0,0,17,0,0,0,4,0,0
"5740","Parks- Recreation- Leisure and Fitness Studies","1990-1991","CLEM",17,1,0,0,0,49,0,0,1,0,0,0
"5741","Physical Sciences","1990-1991","CLEM",17,0,0,0,0,13,0,0,1,2,0,0
"5742","Psychology","1990-1991","CLEM",14,0,1,0,1,44,0,1,1,2,0,0
"5743","Social Sciences and History","1990-1991","CLEM",80,2,0,0,0,77,2,0,5,3,0,0
"5744","Visual and performing arts.","1990-1991","CLEM",11,0,0,0,0,22,0,0,0,0,0,0
"5745","Business- Management- Marketing- and Related Support Services","1990-1991","CLEM",313,1,2,1,3,183,1,1,17,16,0,1
"5746","Computer and Information Sciences and Support Services","1990-1991","DUKE",22,1,0,1,1,1,1,0,0,0,0,0
"5747","Engineering","1990-1991","DUKE",124,9,3,11,2,23,2,1,2,2,0,0
"5748","Foreign Languages- Literatures- and Linguistics","1990-1991","DUKE",13,1,2,0,0,11,1,0,0,1,0,0
"5749","English language and literature/letters.","1990-1991","DUKE",53,3,0,2,2,63,2,2,1,3,0,0
"5750","Biological and Biomedical Sciences","1990-1991","DUKE",44,3,2,3,8,56,1,0,3,5,0,0
"5751","Mathematics and Statistics","1990-1991","DUKE",8,0,0,1,0,8,0,0,0,4,0,0
"5752","Multi/Interdisciplinary Studies","1990-1991","DUKE",16,1,3,3,4,41,1,2,0,1,0,0
"5753","Philosophy and Religious Studies","1990-1991","DUKE",17,1,1,1,0,9,0,0,0,0,0,0
"5754","Physical Sciences","1990-1991","DUKE",26,0,0,5,0,15,0,0,2,0,0,0
"5755","Psychology","1990-1991","DUKE",51,1,2,4,4,95,6,7,1,6,0,1
"5756","Public administration and social service professions.","1990-1991","DUKE",52,0,0,0,0,36,0,3,1,2,0,1
"5757","Social Sciences and History","1990-1991","DUKE",313,5,3,14,3,172,11,3,18,14,0,0
"5758","Visual and performing arts.","1990-1991","DUKE",14,0,0,0,0,25,0,1,0,0,0,0
"5759","Health Professions and Related Programs","1990-1991","DUKE",10,0,0,1,1,19,0,2,0,2,0,1
"5760","Agriculture- Agriculture Operations and Related Sciences","1990-1991","FLA",40,5,2,0,0,19,7,0,6,13,0,0
"5761","Agricultural Sciences","1990-1991","FLA",22,7,3,1,2,42,2,3,1,5,0,0
"5762","Natural Resources and Conservation","1990-1991","FLA",14,1,0,0,0,6,1,0,0,0,0,0
"5763","Architecture and Related Services","1990-1991","FLA",78,1,3,3,3,39,8,9,1,0,0,0
"5764","Area- Ethnic- Cultural- Gender- and Group Studies","1990-1991","FLA",7,0,0,0,0,6,0,0,0,0,0,0
"5765","Communication- Journalism- and Related Programs","1990-1991","FLA",178,0,4,0,5,346,18,20,13,35,1,0
"5766","Computer and Information Sciences and Support Services","1990-1991","FLA",57,3,2,2,0,13,8,1,3,0,0,0
"5767","Education","1990-1991","FLA",89,2,0,0,3,360,3,8,14,25,1,1
"5768","Engineering","1990-1991","FLA",411,23,6,25,6,63,46,4,11,6,1,0
"5769","Engineering Technologies and Engineering-related Fields","1990-1991","FLA",102,1,1,1,0,5,7,1,0,0,0,0
"5770","Foreign Languages- Literatures- and Linguistics","1990-1991","FLA",10,0,0,0,1,15,2,3,4,0,0,0
"5771","Health Sciences","1990-1991","FLA",27,1,1,2,4,148,3,8,0,14,0,1
"5772","Family and Consumer Sciences/Human Sciences","1990-1991","FLA",0,0,1,0,0,7,0,1,0,1,0,0
"5773","English language and literature/letters.","1990-1991","FLA",73,0,0,0,3,216,1,11,1,11,0,1
"5774","Biological and Biomedical Sciences","1990-1991","FLA",66,3,1,7,10,48,7,7,2,7,0,0
"5775","Mathematics and Statistics","1990-1991","FLA",25,0,2,3,4,27,1,1,1,0,0,0
"5776","Multi/Interdisciplinary Studies","1990-1991","FLA",13,1,0,3,3,9,0,0,0,0,0,0
"5777","Parks- Recreation- Leisure and Fitness Studies","1990-1991","FLA",21,0,0,0,0,54,1,2,1,4,0,0
"5778","Philosophy and Religious Studies","1990-1991","FLA",9,0,0,0,0,5,0,0,0,0,0,0
"5779","Physical Sciences","1990-1991","FLA",42,2,0,2,0,20,4,0,1,0,0,0
"5780","Psychology","1990-1991","FLA",68,0,3,1,3,153,3,8,2,8,0,0
"5781","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1990-1991","FLA",41,1,0,0,0,24,3,0,3,5,0,1
"5782","Social Sciences and History","1990-1991","FLA",340,2,3,5,6,203,28,13,13,16,1,1
"5783","Visual and performing arts.","1990-1991","FLA",29,0,0,1,2,72,1,3,2,2,0,0
"5784","Health Professions and Related Programs","1990-1991","FLA",21,0,0,0,0,82,2,5,0,5,0,0
"5785","Business- Management- Marketing- and Related Support Services","1990-1991","FLA",555,10,11,16,22,325,36,24,10,17,2,0
"5786","Architecture and Related Services","1990-1991","FSU",10,0,0,0,2,71,0,2,0,1,0,0
"5787","Area- Ethnic- Cultural- Gender- and Group Studies","1990-1991","FSU",2,0,0,0,0,4,1,0,0,0,0,0
"5788","Communication- Journalism- and Related Programs","1990-1991","FSU",95,0,0,0,1,200,6,10,3,13,0,0
"5789","Computer and Information Sciences and Support Services","1990-1991","FSU",20,1,0,1,0,8,1,0,3,1,0,0
"5790","Education","1990-1991","FSU",94,0,2,0,1,470,2,11,2,17,0,0
"5791","Engineering","1990-1991","FSU",81,4,1,4,1,16,8,0,6,4,0,0
"5792","Foreign Languages- Literatures- and Linguistics","1990-1991","FSU",12,0,1,0,0,16,1,8,1,2,0,0
"5793","Health Sciences","1990-1991","FSU",7,0,0,0,4,92,0,5,0,6,0,0
"5794","Family and Consumer Sciences/Human Sciences","1990-1991","FSU",17,0,2,0,2,141,0,6,0,9,0,0
"5795","English language and literature/letters.","1990-1991","FSU",65,2,0,0,1,113,4,5,3,6,0,0
"5796","Liberal arts and sciences- general studies and humanities.","1990-1991","FSU",4,0,0,0,0,13,0,1,0,0,0,0
"5797","Biological and Biomedical Sciences","1990-1991","FSU",61,0,1,0,0,29,2,2,0,7,2,0
"5798","Mathematics and Statistics","1990-1991","FSU",7,0,0,0,0,4,0,0,1,1,0,0
"5799","Parks- Recreation- Leisure and Fitness Studies","1990-1991","FSU",6,0,0,0,0,46,0,0,0,0,0,0
"5800","Philosophy and Religious Studies","1990-1991","FSU",8,0,0,0,0,5,0,0,1,0,0,0
"5801","Physical Sciences","1990-1991","FSU",36,1,0,0,0,8,5,0,2,0,0,0
"5802","Psychology","1990-1991","FSU",60,0,3,3,6,161,5,5,4,13,0,0
"5803","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1990-1991","FSU",199,0,0,0,0,86,10,3,17,11,0,0
"5804","Public administration and social service professions.","1990-1991","FSU",8,0,0,1,0,38,0,1,0,11,0,0
"5805","Social Sciences and History","1990-1991","FSU",477,5,2,1,5,236,31,6,19,21,0,1
"5806","Visual and performing arts.","1990-1991","FSU",57,0,2,2,1,85,3,4,3,2,0,0
"5807","Health Professions and Related Programs","1990-1991","FSU",2,0,0,0,0,13,1,0,1,1,0,0
"5808","Business- Management- Marketing- and Related Support Services","1990-1991","FSU",664,10,7,5,5,462,35,11,18,34,1,0
"5809","Area- Ethnic- Cultural- Gender- and Group Studies","1990-1991","GTOWN",21,0,7,2,0,19,1,0,0,0,0,0
"5810","Computer and Information Sciences and Support Services","1990-1991","GTOWN",2,0,0,0,0,0,0,0,0,0,0,0
"5811","Foreign Languages- Literatures- and Linguistics","1990-1991","GTOWN",29,4,5,3,12,94,1,3,1,3,0,1
"5812","Health Sciences","1990-1991","GTOWN",2,0,2,0,0,36,0,0,0,3,0,0
"5813","English language and literature/letters.","1990-1991","GTOWN",66,1,0,0,3,77,2,3,2,9,0,0
"5814","Liberal arts and sciences- general studies and humanities.","1990-1991","GTOWN",1,2,0,0,0,5,0,0,1,0,0,0
"5815","Biological and Biomedical Sciences","1990-1991","GTOWN",14,2,3,6,3,17,6,2,0,2,0,0
"5816","Mathematics and Statistics","1990-1991","GTOWN",2,0,0,0,1,1,0,0,0,0,0,0
"5817","Multi/Interdisciplinary Studies","1990-1991","GTOWN",0,0,0,1,0,1,0,0,0,0,0,0
"5818","Philosophy and Religious Studies","1990-1991","GTOWN",14,1,0,1,0,10,1,0,0,0,0,0
"5819","Physical Sciences","1990-1991","GTOWN",15,1,0,1,0,3,1,0,0,0,0,0
"5820","Psychology","1990-1991","GTOWN",18,1,1,1,1,28,1,4,4,9,0,0
"5821","Social Sciences and History","1990-1991","GTOWN",249,18,26,12,10,176,18,15,14,32,0,0
"5822","Visual and performing arts.","1990-1991","GTOWN",2,0,1,0,1,13,0,0,0,2,0,0
"5823","Business- Management- Marketing- and Related Support Services","1990-1991","GTOWN",100,12,8,7,3,70,14,9,12,13,0,1
"5824","Agriculture- Agriculture Operations and Related Sciences","1990-1991","KAN.ST",87,2,0,0,0,10,0,0,0,0,20,0
"5825","Agricultural Sciences","1990-1991","KAN.ST",101,9,1,0,0,33,1,2,0,0,0,0
"5826","Architecture and Related Services","1990-1991","KAN.ST",86,4,3,1,1,44,2,0,2,1,0,0
"5827","Communication- Journalism- and Related Programs","1990-1991","KAN.ST",67,0,0,1,0,84,0,1,0,2,0,0
"5828","Computer and Information Sciences and Support Services","1990-1991","KAN.ST",18,0,1,1,1,4,1,1,0,0,0,0
"5829","Education","1990-1991","KAN.ST",82,1,0,1,0,293,2,1,0,2,1,0
"5830","Engineering","1990-1991","KAN.ST",234,15,0,8,1,39,4,1,2,0,0,0
"5831","Engineering Technologies and Engineering-related Fields","1990-1991","KAN.ST",34,0,0,1,0,2,0,0,1,1,0,0
"5832","Foreign Languages- Literatures- and Linguistics","1990-1991","KAN.ST",1,0,0,0,0,8,3,0,0,0,0,0
"5833","Health Sciences","1990-1991","KAN.ST",5,0,0,0,0,11,1,1,0,0,0,0
"5834","Family and Consumer Sciences/Human Sciences","1990-1991","KAN.ST",19,1,1,0,1,126,0,1,0,6,0,0
"5835","English language and literature/letters.","1990-1991","KAN.ST",7,0,0,0,0,9,0,0,0,0,0,0
"5836","Biological and Biomedical Sciences","1990-1991","KAN.ST",59,0,0,1,1,50,2,1,1,0,0,2
"5837","Mathematics and Statistics","1990-1991","KAN.ST",7,1,0,0,0,3,0,0,0,1,0,0
"5838","Multi/Interdisciplinary Studies","1990-1991","KAN.ST",22,0,0,0,0,25,0,2,1,0,0,0
"5839","Parks- Recreation- Leisure and Fitness Studies","1990-1991","KAN.ST",20,0,0,0,0,2,0,0,0,0,0,0
"5840","Philosophy and Religious Studies","1990-1991","KAN.ST",2,0,0,0,0,1,0,0,0,0,0,0
"5841","Physical Sciences","1990-1991","KAN.ST",19,0,0,0,0,5,0,0,0,1,0,0
"5842","Psychology","1990-1991","KAN.ST",21,0,0,0,0,36,1,1,2,1,0,0
"5843","Public administration and social service professions.","1990-1991","KAN.ST",2,0,0,0,0,34,1,1,0,0,0,0
"5844","Social Sciences and History","1990-1991","KAN.ST",132,0,1,0,0,83,1,0,12,7,1,0
"5845","Visual and performing arts.","1990-1991","KAN.ST",18,0,1,0,0,24,0,0,0,1,0,0
"5846","Health Professions and Related Programs","1990-1991","KAN.ST",1,0,0,0,0,5,0,0,0,1,0,0
"5847","Business- Management- Marketing- and Related Support Services","1990-1991","KAN.ST",293,0,1,2,2,239,5,3,2,1,1,0
"5848","Architecture and Related Services","1990-1991","LOUIS",2,0,0,0,0,11,0,0,0,0,0,0
"5849","Communication- Journalism- and Related Programs","1990-1991","LOUIS",33,0,0,0,1,56,0,0,2,9,1,0
"5850","Computer and Information Sciences and Support Services","1990-1991","LOUIS",11,1,0,0,1,15,0,0,1,0,0,0
"5851","Education","1990-1991","LOUIS",53,0,3,0,0,218,0,0,6,12,0,0
"5852","Engineering","1990-1991","LOUIS",149,7,0,5,2,28,1,1,7,5,1,0
"5853","Foreign Languages- Literatures- and Linguistics","1990-1991","LOUIS",4,0,0,0,0,2,0,1,0,0,0,0
"5854","Health Sciences","1990-1991","LOUIS",14,1,1,1,2,68,1,0,0,7,0,1
"5855","Family and Consumer Sciences/Human Sciences","1990-1991","LOUIS",0,0,0,0,0,2,0,0,0,0,0,0
"5856","English language and literature/letters.","1990-1991","LOUIS",17,0,1,0,0,41,0,0,3,2,0,0
"5857","Liberal arts and sciences- general studies and humanities.","1990-1991","LOUIS",5,0,0,0,0,6,1,0,0,2,0,0
"5858","Biological and Biomedical Sciences","1990-1991","LOUIS",37,1,0,2,1,21,0,0,3,2,0,0
"5859","Mathematics and Statistics","1990-1991","LOUIS",15,2,0,0,0,14,2,1,0,1,0,0
"5860","Multi/Interdisciplinary Studies","1990-1991","LOUIS",2,0,0,0,0,7,0,0,0,0,0,0
"5861","Parks- Recreation- Leisure and Fitness Studies","1990-1991","LOUIS",6,0,0,0,0,0,0,0,0,1,0,0
"5862","Philosophy and Religious Studies","1990-1991","LOUIS",8,0,0,0,0,1,0,0,0,0,0,0
"5863","Physical Sciences","1990-1991","LOUIS",13,1,0,0,1,5,1,1,0,0,0,0
"5864","Psychology","1990-1991","LOUIS",13,0,0,0,2,39,0,0,2,6,0,0
"5865","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1990-1991","LOUIS",27,0,0,0,0,16,0,0,6,0,0,0
"5866","Social Sciences and History","1990-1991","LOUIS",91,1,0,1,1,83,2,1,8,9,0,0
"5867","Visual and performing arts.","1990-1991","LOUIS",25,1,2,0,0,26,0,0,2,3,0,0
"5868","Health Professions and Related Programs","1990-1991","LOUIS",7,2,0,0,1,26,1,1,0,0,0,-1
"5869","Business- Management- Marketing- and Related Support Services","1990-1991","LOUIS",244,8,6,3,3,190,1,1,8,16,0,1
"5870","Agriculture- Agriculture Operations and Related Sciences","1990-1991","LSU",30,2,0,0,0,4,1,0,0,0,0,0
"5871","Agricultural Sciences","1990-1991","LSU",4,3,3,0,0,7,3,1,0,0,1,0
"5872","Natural Resources and Conservation","1990-1991","LSU",9,0,0,0,0,1,0,0,0,0,0,0
"5873","Architecture and Related Services","1990-1991","LSU",54,3,5,2,0,48,2,1,2,0,1,0
"5874","Area- Ethnic- Cultural- Gender- and Group Studies","1990-1991","LSU",3,0,0,0,0,0,0,0,0,0,0,0
"5875","Communication- Journalism- and Related Programs","1990-1991","LSU",36,0,2,0,2,119,2,3,4,8,0,0
"5876","Computer and Information Sciences and Support Services","1990-1991","LSU",18,1,2,0,0,4,0,0,1,1,0,0
"5877","Education","1990-1991","LSU",48,1,3,0,1,242,1,1,1,4,0,3
"5878","Engineering","1990-1991","LSU",149,15,0,33,0,21,4,0,8,4,0,0
"5879","Engineering Technologies and Engineering-related Fields","1990-1991","LSU",17,0,0,1,0,1,0,0,2,1,0,0
"5880","Foreign Languages- Literatures- and Linguistics","1990-1991","LSU",10,1,0,0,0,12,1,0,1,1,0,0
"5881","Health Sciences","1990-1991","LSU",7,0,0,1,1,26,0,0,0,0,0,0
"5882","Family and Consumer Sciences/Human Sciences","1990-1991","LSU",1,0,1,0,1,104,0,3,0,7,0,0
"5883","Legal professions and studies.","1990-1991","LSU",8,0,0,0,0,3,0,0,0,0,0,0
"5884","English language and literature/letters.","1990-1991","LSU",32,0,1,0,0,121,0,1,0,6,0,1
"5885","Liberal arts and sciences- general studies and humanities.","1990-1991","LSU",180,5,0,3,2,156,1,0,10,14,0,2
"5886","Biological and Biomedical Sciences","1990-1991","LSU",47,5,0,2,4,35,3,0,2,6,0,1
"5887","Mathematics and Statistics","1990-1991","LSU",5,1,2,0,0,9,0,0,1,2,0,0
"5888","Multi/Interdisciplinary Studies","1990-1991","LSU",8,0,0,0,0,3,0,0,1,1,0,0
"5889","Philosophy and Religious Studies","1990-1991","LSU",6,0,0,0,0,3,0,0,0,0,0,0
"5890","Physical Sciences","1990-1991","LSU",10,0,1,0,0,5,0,0,1,0,0,0
"5891","Psychology","1990-1991","LSU",47,0,0,0,1,122,1,5,4,16,0,2
"5892","Homeland Security- Law Enforcement- Firefighting- and Related Protective Service","1990-1991","LSU",27,0,0,1,0,14,1,0,2,6,0,0
"5893","Public administration and social service professions.","1990-1991","LSU",1,0,0,0,0,0,0,0,1,0,0,0
"5894","Social Sciences and History","1990-1991","LSU",135,1,1,2,2,126,5,2,8,8,0,1
"5895","Visual and performing arts.","1990-1991","LSU",36,0,1,0,2,54,1,0,0,2,0,0
"5896","Business- Management- Marketing- and Related Support Services","1990-1991","LSU",289,11,8,3,12,209,9,4,5,25,1,1
"5897","Architecture and Related Services","1990-1991","ND",27,4,0,1,1,6,2,1,0,0,0,0
"5898","Area- Ethnic- Cultural- Gender- and Group Studies","1990-1991","ND",41,0,1,0,2,61,0,2,4,2,0,1
"5899","Engineering","1990-1991","ND",177,7,2,5,0,29,5,2,4,0,0,1
"5900","Foreign Languages- Literatures- and Linguistics","1990-1991","ND",5,0,0,0,0,5,0,0,0,0,0,0
"5901","Health Sciences","1990-1991","ND",69,0,1,7,5,40,5,2,2,3,0,0
"5902","English language and literature/letters.","1990-1991","ND",66,0,0,0,2,61,0,3,1,3,0,0
"5903","Liberal arts and sciences- general studies and humanities.","1990-1991","ND",26,0,0,0,2,18,2,0,0,0,0,0
"5904","Biological and Biomedical Sciences","1990-1991","ND",40,2,1,1,1,29,1,1,1,1,0,0
"5905","Mathematics and Statistics","1990-1991","ND",32,0,0,0,1,22,2,1,2,1,0,0
"5906","Philosophy and Religious Studies","1990-1991","ND",20,1,1,0,0,7,0,1,0,0,0,0
"5907","Theology and religious vocations.","1990-1991","ND",4,0,0,0,0,6,0,0,0,0,0,0
"5908","Physical Sciences","1990-1991","ND",10,1,1,0,0,9,0,0,0,0,1,0
"5909","Psychology","1990-1991","ND",33,0,0,2,4,46,1,3,5,3,0,0
"5910","Social Sciences and History","1990-1991","ND",229,7,1,1,3,123,5,6,4,7,0,1
"5911","Visual and performing arts.","1990-1991","ND",18,0,0,0,0,23,0,2,1,1,0,0
"5912","Business- Management- Marketing- and Related Support Services","1990-1991","ND",304,10,3,3,3,96,12,10,11,8,2,0
"5913","Agriculture- Agriculture Operations and Related Sciences","1990-1991","NEB",100,0,0,0,0,12,0,0,0,0,1,0
"5914","Agricultural Sciences","1990-1991","NEB",43,3,0,0,0,18,1,0,0,0,0,0
"5915","Natural Resources and Conservation","1990-1991","NEB",17,0,0,0,0,4,0,0,0,0,0,0
"5916","Architecture and Related Services","1990-1991","NEB",41,0,0,1,0,8,0,1,0,0,0,0
"5917","Area- Ethnic- Cultural- Gender- and Group Studies","1990-1991","NEB",0,0,0,0,0,1,0,0,0,0,0,0
"5918","Communication- Journalism- and Related Programs","1990-1991","NEB",103,0,0,0,0,154,0,2,4,2,0,0
"5919","Computer and Information Sciences and Support Services","1990-1991","NEB",40,7,2,3,0,2,0,0,0,0,0,0
"5920","Education","1990-1991","NEB",107,1,3,0,1,268,3,1,2,1,0,0
"5921","Engineering","1990-1991","NEB",149,4,4,5,0,13,4,0,0,1,0,0
"5922","Engineering Technologies and Engineering-related Fields","1990-1991","NEB",74,0,0,2,0,4,1,0,0,0,0,0
