Date,Season,Details
11/5/2001,2001-2002,"The NBA fined Alvin Gentry (LAC) $7,500 for verbally abusing the refs during Saturday's GS-LAC game."
11/5/2001,2001-2002,"The NBA fined Dan Issel (Den) $7,500 for verbally abusing the refs and failing to leave the court in a timely manner following his ejection from Saturday's Den-Sac game."
11/7/2001,2001-2002,The LA Clippers placed Lamar Odom on the suspended list.
11/8/2001,2001-2002,"The NBA fined Keon Clark (Tor) $7,500 and suspended him for 1 game for throwing an elbow at Troy Murphy's (GS) head during Wednesday's GS-Tor game."
11/9/2001,2001-2002,"The NBA fined Nick Van Exel (Den) $20,000 for comments he made about the refs following Thursday's Dal-Den game."
11/9/2001,2001-2002,"Chicago fined Charles Oakley $50,000 for criticizing coach Tim Floyd."
11/14/2001,2001-2002,"Milwaukee fined Jason Caffey $10,000 and docked him a game's pay for missing Tuesday's team flight and Wednesday's practice and game vs Washington."
11/16/2001,2001-2002,"The NBA fined Pat Riley (Mia) $10,000 for criticizing the refs following Thursday's Mia-NY game."
11/20/2001,2001-2002,"The NBA fined Shaquille O'Neal (LAL), Kobe Bryant (LAL, Tracy McGrady (Orl), Nick Van Exel (Den), Andre DeClercq (Orl), Eric Piatkowski (LAC), Quentin Richardson (LAC), Jeff McInnis (LAC), and Dana Barros (Det) $5,000 for wearing their shorts too low during games."
11/21/2001,2001-2002,The NBA lifted Lamar Odom's (LAC) suspension. Odom had missed 8 games due to violating the terms of the NBA's anti-drug policy. The Clippers also activated Odom from the suspended list.
11/26/2001,2001-2002,"The NBA fined Kobe Bryant (LAL) $7,500 for verbally abusing a ref and failing to leave the court in a timely manner after he was ejected during Friday's LAL-GS game."
12/3/2001,2001-2002,"The NBA fined Shaquille O'Neal (LAL) $7,500 for verbally abusing a ref and failing to leave the court in a timely manner following his ejection from Friday's LAL-Sea game."
12/4/2001,2001-2002,"The NBA fined Brad Miller (Chi) $7,500 for kicking a chair into the stands during Saturday's Chi-Phi game."
12/12/2001,2001-2002,Denver suspended head coach Dan Issel for 4 games for his ethnic and profanity laced remark made to a fan following Tuesday's Den-Cha game. Issel apologized for his actions.
12/14/2001,2001-2002,"The NBA suspended Maurice Taylor (Hou) for 5 games for violating the league's anti-drug program. Taylor admitted to using marijuana. Because Taylor is on IR, the suspension will start with the first game Taylor is physically able to play."
12/15/2001,2001-2002,"The NBA fined Cuttino Mobley (Hou) $7,500 for publicly criticizing the refs."
12/24/2001,2001-2002,"The NBA fined Kenyon Martin (NJ) $7,500 and suspended him for 1 game for his flagrant foul against Karl Malone (Uta) during Friday's NJ-Uta game."
12/28/2001,2001-2002,"The NBA reinstated Minnesota's 2005 1st round draft pick. Minnesota had lost the pick as part of the punishment for their illegal deal with Joe Smith, but the NBA gave that pick back citing Minnesota's good behavior. Minnesota still lost 3 draft picks (2001, 2002, 2004) for the violation in addition to other fines and suspensions."
12/31/2001,2001-2002,"The NBA fined Derrick Coleman (Phi) $7,500 and suspended him for 1 game for the punch he threw at Karl Malone (Uta) during Saturday's Phi-Uta game."
12/31/2001,2001-2002,"The NBA fined coach Larry Brown (Phi) $7,500 for criticizing the refs following Saturday's Phi-Uta game."
1/3/2002,2001-2002,"The NBA fined Tim Thomas (Mil) $7,500 for criticizing the refs following Monday's Mil-Chi game."
1/5/2002,2001-2002,"The NBA fined Kenyon Martin (NJ) $15,000 and suspended him for 2 games for throwing a punch at Tracy McGrady (Orl) during Friday's NJ-Orl game. McGrady was also fined $5,000 for retaliating with a shove."
1/8/2002,2001-2002,"The NBA fined Dallas owner Mark Cuban $500,000 for comments about the officiating after the Dal-SA game and comments about league head ref Ed Rush. It is the largest fine the NBA has handed out to an individual (surpassing the record $250,000 given to Cuban last year)."
1/8/2002,2001-2002,Memphis fined Jason Williams for comments detrimental to the team.
1/14/2002,2001-2002,"The NBA came down with the fines and suspensions for Saturday's fight in the Lakers-Chicago game. Shaquille O'Neal (LAL) was fined $15,000 and suspended 3 games for throwing punches at Brad Miller after O'Neal was fouled hard by Miller and Charles Oakley. Miller was fined $7,500 and suspended for 1 game for a flagrant foul, level 2 on O'Neal. Oakley was fined $10,000 and suspended for 2 games for his flagrant foul, level 2 on O'Neal. Oakley received 1 game for the flagrant and 1 game for amassing a certain number of flagrant foul points."
1/14/2002,2001-2002,"The NBA fined Mitch Richmond (LAL) $5,000 for making an obscene gesture towards the fans in the Det-LAL game on January 8."
1/14/2002,2001-2002,"The NBA fined John Lucas (Cle coach) $7,500 for verbally abusing the refs and not leaving the court in a timely manner after the Cle-Sea game on Friday."
1/22/2002,2001-2002,"The NBA fined Kenny Thomas (Hou) $15,000 and suspended him for 3 games and fined Shareef Abdur-Rahim (Atl) $15,000 and suspended him for 3 games for their fight in Monday's Hou-Atl game. Jason Terry (Atl) was also fined $7,500 and suspended for 1 game for throwing a punch during the altercation."
1/30/2002,2001-2002,"The NBA fined Chris Webber (Sac) $7,500 and suspended him for 1 game for deliberately throwing an elbow at Jarron Collins (Uta) during Saturday's Uta-Sac game."
2/1/2002,2001-2002,"The NBA fined Jahidi White (Was) $7,500 and suspended him for 1 game for head-butting Zydrunas Ilgauskas (Cle) during Thursday' Was-Cle game. Ilgauskas was fined $5,000 for his actions and DeSagana Diop (Cle) was fined $5,000 and suspended for 1 game for leaving the bench during the altercation."
2/2/2002,2001-2002,Golden State suspended Marc Jackson for 2 game for conduct detrimental to the team.
2/5/2002,2001-2002,"The NBA fined Stephen Jackson (SA) $7,500 and suspended him for 1 game for his flagrant foul on Loren Woods (Min) during Monday's SA-Min game."
2/6/2002,2001-2002,"The NBA fined Juwan Howard (Dal) $7,500 and suspended him for 1 game for throwing an elbow at Jamaal Tinsley (Ind) during Tuesday's Dal-Ind game."
2/9/2002,2001-2002,"The NBA fined Allen Iverson (Phi) and Michael Jordan (Was) $10,000 for skipping Friday's media session."
2/11/2002,2001-2002,Utah suspended Greg Ostertag for 1 game for bumping coach Jerry Sloan during Tuesday's Uta-Mem game.
2/12/2002,2001-2002,Indiana suspended Carlos Rogers for not reporting to the team following the All-Star break.
2/14/2002,2001-2002,The NBA suspended Rodney Buford (Mem) for 5 games for violating the league's substance abuse policy.
2/14/2002,2001-2002,"The NBA fined Elden Campbell (Cha) $3,500 for a flagrant foul during Wednesday's Cha-Chi game."
2/15/2002,2001-2002,The NBA suspended DeShawn Stevenson (Uta) for 3 games after pleading no contest to statutory rape.
2/18/2002,2001-2002,"The NBA fined Derrick Coleman (Phi) $12,500 and suspended him for 2 games for grabbing Reggie Miller's (Ind) throat and throwing a punch, fined Miller (Ind) $7,500 and suspended him for 1 game for throwing a punch at Coleman, and fined Corie Blount (Phi) $5,000 and suspended him for 1 game for leaving the bench during the altercation."
2/18/2002,2001-2002,"The NBA fined Baron Davis (Cha) $7,500 for verbally abusing the refs during Sunday's Cha-Mem game."
2/19/2002,2001-2002,The NBA suspended Clifford Robinson (Det) for 1 game for his guilty plea for driving under the influence.
2/22/2002,2001-2002,"The NBA suspended Shawn Kemp (Por) for violating the league's anti-drug program. Kemp is suspended until he has ""resumed full compliance with his treatment program."""
3/2/2002,2001-2002,"The NBA fined Kobe Bryant (LAL) $12,500 and suspended him for 2 games and fined Reggie Miller (Ind) $10,000 and suspended him for 2 games for their fight following Friday's Ind-LAL game."
3/2/2002,2001-2002,"The NBA fined Bruce Bowen (SA) $7,500 and assessed him a flagrant foul for his flying kick that hit Wally Szczerbiak (Min) in the face during Friday's SA-Min game."
3/4/2002,2001-2002,The NBA suspended Kenyon Martin (NJ) for 1 game for collecting his 6th flagrant foul point of the season. A player is automatically suspended when he receives 6 flagrant foul points (a flagrant foul level 1 is worth 1 point and a flagrant foul level 2 is worth 2 points). Martin will be suspended for 1 game for each flagrant foul point he collects for the rest of the season.
3/4/2002,2001-2002,"The NBA fined Bonzi Wells (Por) $7,500 for throwing a forearm at Darvin Ham (Mil) during Saturday's Mil-Por game."
3/4/2002,2001-2002,The NBA lifted Shawn Kemp's (Por) suspension for violating the league's anti-drug program. Kemp served a 5 game suspension.
3/6/2002,2001-2002,"The NBA fined Doc Rivers (Orl) $7,500 for failing to leave the court in a timely manner and comments made to the media following his ejection in Tuesday's Orl-Ind game."
3/7/2002,2001-2002,"The NBA fined Jason Kidd (NJ) $5,000 for making an obscene gesture towards the fans after Wednesday's Pho-NJ game."
3/13/2002,2001-2002,"The NBA fined Nate McMillan (Sea) $7,500 for publicly criticizing the refs and fined Rashard Lewis (Sea) $7,500 for verbally abusing the refs and failing to leave the court in a timely manner following Monday's Dal-Sea game."
3/13/2002,2001-2002,"The NBA fined Byron Scott (NJ) $7,500 for publicly criticizing the refs following Saturday's NJ-Sea game."
3/14/2002,2001-2002,"The NBA fined Gary Trent (Min) $3,000 for throwing a notebook (and scattering papers everywhere) following his ejection from Wednesday's Min-Hou game."
3/15/2002,2001-2002,"The NBA fined Dale Davis (Por) $12,500 and suspended him for 2 games for throwing a punch at Shawn Bradley (Dal) during Thursday's Dal-Por game."
3/15/2002,2001-2002,The NBA suspended Danny Fortson (GS) for 2 games for collecting his 6th and 7th flagrant foul points of the season. Fortson was assessed 2 flagrant fouls (level 1) during Thursday's GS-LAL game. Each flagrant foul point over 5 results in an automatic suspension.
3/16/2002,2001-2002,"The NBA fined Tim Hardaway (Den) $10,000 and suspended him for 2 games for verbal confrontation with the refs, failing to leave the court in a timely manner, and throwing a TV monitor on the court after his ejection during Friday's Den-Orl game."
3/17/2002,2001-2002,The NBA suspended Kenyon Martin (NJ) for 1 game for collecting a flagrant foul during Friday's NJ-Mia game. Martin is over the flagrant foul point limit and will automatically receive a 1 game suspension for each flagrant foul point he receives for the rest of the season.
3/25/2002,2001-2002,"The NBA suspended Kenyon Martin (NJ) for 2 games for collecting his 8th flagrant foul point of the season. Martin received a flagrant foul during Sunday's Atl-NJ game. Once a player reaches 8 flagrant foul points, each flagrant foul point automatically results in a 2 game suspension (5 to 7 points is a 1 game suspension)."
3/27/2002,2001-2002,"The NBA fined Jermaine O'Neal (Ind) $10,000 and suspended him for 2 games for throwing punches during Tuesday's Ind-Det game and fined Corliss Williamson (Det) $5,000 for throwing the ball at O'Neal's head. The NBA also fined Jonathan Bender (Ind), Primoz Brezec (Ind), and Bruno Sundov (Ind) $5,000 and suspended them for 1 game for leaving the bench during the altercation."
3/30/2002,2001-2002,The NBA suspended Danny Fortson (GS) for 2 games for collecting his 8th flagrant foul point. A player is automatically suspended for 2 games for each flagrant foul point 8 and over.
4/1/2002,2001-2002,"The NBA fined Larry Brown (Phi) $10,000 for publically criticizing the refs following Saturday's Phi-NJ game."
4/1/2002,2001-2002,"The NBA fined Sam Cassell (Mil) $5,000 for kicking the ball off the scoreboard during Friday's Mil-Was game."
4/3/2002,2001-2002,Utah suspended John Amaechi for 1 game after Amaechi got in a verbal confrontation with coach Jerry Sloan.
4/5/2002,2001-2002,"The LA Clippers fined Michael Olowokandi $50,000 for behavior detrimental to the team. Olowokandi skipped a team breakfast because he said he needed the sleep."
4/5/2002,2001-2002,Milwaukee suspended Rafer Alston for 1 game for missing practice on Thursday.
4/9/2002,2001-2002,The NBA suspended Marc Jackson (Min) for 1 game for his flagrant foul on Bob Sura (GS) during Monday's Min-GS game.
